day,month,hour,minute,load
6,0,11.0,0.0,64.74
6,0,11.0,15.0,63.97
6,0,11.0,30.0,64.58
6,0,11.0,45.0,59.13
6,0,12.0,0.0,64.4
6,0,12.0,15.0,58.76
6,0,12.0,30.0,58.68
6,0,12.0,45.0,64.69
6,0,13.0,0.0,59.72
6,0,13.0,15.0,60.8
6,0,13.0,30.0,61.71
6,0,13.0,45.0,60.94
6,0,14.0,0.0,66.06
6,0,14.0,15.0,65.95
6,0,14.0,30.0,61.41
6,0,14.0,45.0,65.84
6,0,15.0,0.0,61.93
6,0,15.0,15.0,65.63
6,0,15.0,30.0,69.98
6,0,15.0,45.0,70.31
6,0,16.0,0.0,69.88
6,0,16.0,15.0,68.5
6,0,16.0,30.0,68.42
6,0,16.0,45.0,68.63
6,0,17.0,0.0,68.47
6,0,17.0,15.0,68.19
6,0,17.0,30.0,68.27
6,0,17.0,45.0,68.38
6,0,18.0,0.0,68.13
6,0,18.0,15.0,69.19
6,0,18.0,30.0,70.17
6,0,18.0,45.0,70.7
6,0,19.0,0.0,76.36
6,0,19.0,15.0,76.22
6,0,19.0,30.0,76.67
6,0,19.0,45.0,76.94
6,0,20.0,0.0,77.07
6,0,20.0,15.0,76.07
6,0,20.0,30.0,76.03
6,0,20.0,45.0,75.81
6,0,21.0,0.0,75.4
6,0,21.0,15.0,75.07
6,0,21.0,30.0,75.05
6,0,21.0,45.0,74.8
6,0,22.0,0.0,74.71
6,0,22.0,15.0,74.51
6,0,22.0,30.0,70.34
6,0,22.0,45.0,70.07
6,0,23.0,0.0,69.85
6,0,23.0,15.0,66.02
6,0,23.0,30.0,65.16
6,0,23.0,45.0,64.75
0,1,0.0,0.0,61.4
0,1,0.0,15.0,61.7
0,1,0.0,30.0,61.36
0,1,0.0,45.0,61.43
0,1,1.0,0.0,60.91
0,1,1.0,15.0,56.66
0,1,1.0,30.0,56.83
0,1,1.0,45.0,56.99
0,1,2.0,0.0,56.91
0,1,2.0,15.0,56.76
0,1,2.0,30.0,56.73
0,1,2.0,45.0,57.16
0,1,3.0,0.0,56.77
0,1,3.0,15.0,57.05
0,1,3.0,30.0,53.37
0,1,3.0,45.0,53.37
0,1,4.0,0.0,52.64
0,1,4.0,15.0,52.81
0,1,4.0,30.0,52.44
0,1,4.0,45.0,52.68
0,1,5.0,0.0,52.64
0,1,5.0,15.0,52.92
0,1,5.0,30.0,53.45
0,1,5.0,45.0,53.46
0,1,6.0,0.0,53.57
0,1,6.0,15.0,53.93
0,1,6.0,30.0,54.37
0,1,6.0,45.0,54.73
0,1,7.0,0.0,54.09
0,1,7.0,15.0,53.94
0,1,7.0,30.0,53.95
0,1,7.0,45.0,53.99
0,1,8.0,0.0,53.81
0,1,8.0,15.0,55.06
0,1,8.0,30.0,58.78
0,1,8.0,45.0,58.55
0,1,9.0,0.0,58.39
0,1,9.0,15.0,58.44
0,1,9.0,30.0,58.61
0,1,9.0,45.0,58.17
0,1,10.0,0.0,62.46
0,1,10.0,15.0,61.97
0,1,10.0,30.0,62.44
0,1,10.0,45.0,62.0
0,1,11.0,0.0,62.02
0,1,11.0,15.0,62.17
0,1,11.0,30.0,61.93
0,1,11.0,45.0,61.99
0,1,12.0,0.0,62.05
0,1,12.0,15.0,61.86
0,1,12.0,30.0,62.17
0,1,12.0,45.0,62.67
0,1,13.0,0.0,62.73
0,1,13.0,15.0,62.72
0,1,13.0,30.0,62.91
0,1,13.0,45.0,62.57
0,1,14.0,0.0,62.47
0,1,14.0,15.0,63.14
0,1,14.0,30.0,67.1
0,1,14.0,45.0,66.85
0,1,15.0,0.0,65.77
0,1,15.0,15.0,65.86
0,1,15.0,30.0,65.78
0,1,15.0,45.0,65.16
0,1,16.0,0.0,65.48
0,1,16.0,15.0,65.05
0,1,16.0,30.0,69.22
0,1,16.0,45.0,65.53
0,1,17.0,0.0,65.0
0,1,17.0,15.0,64.16
0,1,17.0,30.0,64.34
0,1,17.0,45.0,64.32
0,1,18.0,0.0,72.74
0,1,18.0,15.0,67.94
0,1,18.0,30.0,66.0
0,1,18.0,45.0,72.03
0,1,19.0,0.0,72.99
0,1,19.0,15.0,73.42
0,1,19.0,30.0,73.64
0,1,19.0,45.0,73.48
0,1,20.0,0.0,73.95
0,1,20.0,15.0,73.29
0,1,20.0,30.0,73.41
0,1,20.0,45.0,72.73
0,1,21.0,0.0,72.35
0,1,21.0,15.0,72.15
0,1,21.0,30.0,71.46
0,1,21.0,45.0,71.8
0,1,22.0,0.0,71.83
0,1,22.0,15.0,66.91
0,1,22.0,30.0,66.83
0,1,22.0,45.0,66.72
0,1,23.0,0.0,66.77
0,1,23.0,15.0,62.05
0,1,23.0,30.0,61.95
0,1,23.0,45.0,62.02
1,1,0.0,0.0,61.8
1,1,0.0,15.0,61.93
1,1,0.0,30.0,57.94
1,1,0.0,45.0,57.45
1,1,1.0,0.0,57.17
1,1,1.0,15.0,57.46
1,1,1.0,30.0,57.32
1,1,1.0,45.0,57.24
1,1,2.0,0.0,57.32
1,1,2.0,15.0,53.01
1,1,2.0,30.0,54.11
1,1,2.0,45.0,54.33
1,1,3.0,0.0,54.42
1,1,3.0,15.0,54.7
1,1,3.0,30.0,54.23
1,1,3.0,45.0,54.24
1,1,4.0,0.0,54.28
1,1,4.0,15.0,54.26
1,1,4.0,30.0,54.4
1,1,4.0,45.0,54.47
1,1,5.0,0.0,54.78
1,1,5.0,15.0,55.27
1,1,5.0,30.0,55.47
1,1,5.0,45.0,56.12
1,1,6.0,0.0,56.1
1,1,6.0,15.0,56.2
1,1,6.0,30.0,57.49
1,1,6.0,45.0,57.65
1,1,7.0,0.0,57.16
1,1,7.0,15.0,56.93
1,1,7.0,30.0,56.7
1,1,7.0,45.0,55.73
1,1,8.0,0.0,55.46
1,1,8.0,15.0,60.09
1,1,8.0,30.0,59.99
1,1,8.0,45.0,60.11
1,1,9.0,0.0,64.03
1,1,9.0,15.0,62.68
1,1,9.0,30.0,60.41
1,1,9.0,45.0,64.71
1,1,10.0,0.0,63.7
1,1,10.0,15.0,64.42
1,1,10.0,30.0,64.36
1,1,10.0,45.0,64.29
1,1,11.0,0.0,64.34
1,1,11.0,15.0,64.38
1,1,11.0,30.0,64.24
1,1,11.0,45.0,64.54
1,1,12.0,0.0,63.59
1,1,12.0,15.0,65.1
1,1,12.0,30.0,64.92
1,1,12.0,45.0,65.07
1,1,13.0,0.0,65.42
1,1,13.0,15.0,65.36
1,1,13.0,30.0,65.79
1,1,13.0,45.0,65.6
